"","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG","Top_25","Top_10"
"38",57.33,308.2,69.48,29.1,56.63,69.861,0.421,1.081,0.407,0.2,0.052,"No","No"
"39",58.6,302.6,66.98,28.81,55.53,69.956,0.445,1.092,0.542,0.139,-0.033,"No","No"
"41",56.85,313.4,68.28,28.76,63.28,69.444,0.168,1.22,0.658,0.232,0.162,"Yes","No"
"43",62.23,305.7,69.65,29.18,59.84,69.646,0.346,1.558,0.586,0.556,0.07,"Yes","No"
"44",56.55,315.2,69.32,28.96,61.89,69.296,0.212,2.088,1.194,0.684,-0.002,"Yes","No"
"45",55.11,310.6,69.16,29.78,52.74,70.333,-0.367,0.992,0.983,0.393,-0.017,"Yes","No"
"46",58.27,313.1,68.21,29.33,56.64,70.384,0.001,0.555,0.78,0.005,-0.231,"Yes","No"
"48",60.19,307.9,67.99,29.31,61.16,70.19,-0.285,0.805,0.475,0.448,0.167,"No","No"
"49",68.98,292.7,71.2,29.66,56.89,70.457,-0.067,0.478,0.215,0.267,0.063,"No","No"
"51",57.03,298.4,63.18,28.36,61.12,70.517,0.115,0.219,-0.148,0.034,0.218,"No","No"
"52",68.5,281.8,64.58,29,62.09,70.92,0.125,0.369,-0.074,-0.054,0.373,"Yes","Yes"
"53",56.86,296.7,68.73,29.34,59.64,70.004,-0.137,1.043,0.304,0.652,0.224,"Yes","Yes"
"55",52.6,303.4,68.01,29.08,60.88,70.418,0.133,0.673,0.131,0.082,0.327,"No","No"
"57",62.59,300.9,69.33,29.5,60.87,70.219,0.219,0.801,0.324,0.163,0.095,"Yes","No"
"58",58.01,298.9,66.19,28.83,58.74,70.613,0.065,0.335,0.47,0.137,-0.338,"No","No"
"59",54.8,298.2,64.58,29.17,57.75,70.658,-0.036,0.562,0.496,0.188,-0.085,"No","No"
"61",60.07,300,67.68,28.99,56.6,70.311,0.208,0.859,0.146,0.606,-0.102,"No","No"
"63",72.24,286.5,68.67,29.12,62.27,70.432,0.192,0.674,0.183,0.437,-0.137,"No","No"
"64",61.97,285.8,64.54,28.6,60.3,70.959,0.065,0.414,-0.15,0.302,0.198,"No","No"
"65",62.02,285.9,64.05,28.67,62.73,70.92,-0.006,0.653,0.086,0.369,0.205,"Yes","No"
"66",64.64,289.8,68.24,28.9,63.53,70.411,0.073,0.732,-0.048,0.518,0.19,"No","No"
"67",60.74,302.1,68.84,29.23,60.66,70.581,-0.193,0.489,0.372,0.526,-0.217,"Yes","Yes"
"68",56.68,298.4,67.67,29.08,56.95,70.339,0.175,0.893,0.329,0.49,-0.1,"Yes","No"
"70",61.79,284,65.62,28.54,57.76,70.397,0.644,0.541,-0.111,0.194,-0.186,"No","No"
"71",58.65,288,63.02,28.54,57.21,70.771,0.592,0.236,-0.126,-0.257,0.027,"No","No"
"72",63.92,283.1,65.69,28.27,60.86,70.398,0.374,0.729,-0.301,0.718,-0.062,"No","No"
"73",64.16,280.6,67.98,28.93,57.42,70.843,0.358,0.356,-0.216,0.243,-0.029,"No","No"
"74",65.94,281.2,68.25,29.08,61.14,70.87,0.214,0.525,-0.303,0.532,0.081,"No","No"
"75",65.51,289.5,64.94,28.66,61.27,70.8,0.039,0.405,0.379,0.013,-0.025,"No","No"
"76",67.36,284.8,63.99,28.75,59.57,71.05,0.055,0.261,0.193,0.116,-0.103,"No","No"
"77",55.53,317.7,67.05,28.47,57.85,69.585,0.128,1.455,0.96,0.579,-0.212,"Yes","Yes"
"78",57.17,313.6,67.82,28.49,59.58,69.172,0.328,1.993,1.117,0.477,0.07,"Yes","Yes"
"80",59.46,314,70.57,28.47,62.5,68.698,0.385,2.372,0.919,0.829,0.238,"Yes","No"
"81",66.93,294.3,68.52,29.67,55.1,70.637,-0.056,0.479,0.446,0.255,-0.167,"No","No"
"83",70.16,295.2,68.84,29.04,61.05,70.152,0.546,1.133,0.364,0.345,-0.122,"No","No"
"85",65.04,301,70.24,29.63,58.67,69.797,-0.487,1.123,0.69,0.593,0.327,"Yes","Yes"
"86",56.21,305.5,66.74,29.53,56.66,70.982,0.077,0.198,0.177,0.227,-0.284,"No","No"
"87",56.69,306.1,68.74,29.26,60.16,70.234,-0.13,0.968,0.547,0.463,0.088,"Yes","No"
"89",63.69,313.5,70.51,29.93,54.45,70.161,0.00699999999999999,1.066,0.803,0.484,-0.228,"Yes","No"
