"","Top_25","Top_10","Rounds","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG"
"196","Yes","No",92,57.91,303.6,65.17,29.43,58.6,71.275,-0.059,0.03,0.294,-0.081,-0.124
"197","Yes","No",71,69.08,281.9,69.79,29.39,62.93,69.845,-0.024,1.634,0.064,1.081,0.513
"200","No","No",89,52.23,301.6,66.09,28.7,57.71,70.268,0.692,0.933,-0.161,0.334,0.068
"203","No","No",81,53.49,299,61.9,28.34,59.09,70.786,0.324,0.357,-0.437,0.304,0.166
"211","Yes","Yes",90,58.61,305.8,68.79,28.81,63.74,69.561,0.256,1.871,0.949,0.515,0.057
"214","Yes","Yes",91,62.91,291.8,67.87,27.82,65.03,68.938,0.571,2.154,0.494,0.618,0.471
"216","Yes","Yes",85,59.48,295,69.97,28.34,61.75,68.846,0.278,1.988,0.321,0.896,0.429
"217","No","No",81,61.55,299.8,70.47,29.09,61.63,69.904,-0.034,0.83,0.271,0.409,0.184
"218","Yes","No",65,57.9,303.9,67.92,29.58,58.1,70.148,-0.197,1.128,0.678,0.409,0.237
"219","Yes","No",66,58.48,300.4,68.19,29.15,59.44,69.699,-0.063,1.268,0.559,0.363,0.373
"221","No","No",106,58.24,303.2,68.92,28.64,61.55,70.105,0.042,0.968,0.352,0.385,0.188
"222","No","No",99,53.94,301.3,65.63,29.28,55.56,70.571,-0.185,0.32,0.029,0.494,-0.017
"223","Yes","Yes",86,54.09,309.3,67.33,28.29,60.54,69.359,0.332,1.724,0.452,0.738,0.289
"224","Yes","Yes",91,58.41,311.8,68.77,28.33,62.47,69.118,0.272,1.835,0.408,0.844,0.311
"225","Yes","Yes",73,66.18,275.3,65.37,28.84,61.54,71.093,0.352,0.178,-0.511,0.166,0.171
"226","Yes","Yes",87,64.85,306.1,67.53,29.49,58.25,70.45,-0.07,1.018,0.436,0.389,0.263
